S 50-43-44-23-08-003-4020-001    402W 910000 0 910000 RES 
S 50-43-44-26-03-001-5030-001    503N 910000 0 910000 RES 
M 50-43-43-22-07-000-3560-001     935178 25000 910178 RES 
N 50-43-43-10-24-000-0190-001     935800 25000 910800 RES 
S 50-43-44-23-09-001-0022-001    1B2 911000 0 911000 RES 
S 50-43-44-26-08-001-5060-001    N-506 936450 25000 911450 RES 
N 50-43-42-34-08-000-0250-001     936719 25000 911719 RES 
M 50-43-43-15-33-001-1050-001    105 942787 30000 912787 RES 
S 50-43-44-23-09-001-0035-001    1C5 913000 0 913000 RES 
M 50-43-43-15-33-001-5040-001    504 939327 25500 913827 RES 
M 50-43-43-22-06-000-0670-001     939216 25000 914216 RES 
M 50-43-43-23-05-007-0012-001     939240 25000 914240 RES 
S 50-43-44-14-02-002-3050-001    305S 939365 25000 914365 RES 
S 50-43-44-23-07-001-0022-001    2B-1 940000 25000 915000 RES 
M 50-43-43-22-06-000-1970-001     940509 25000 915509 RES 
S 50-43-44-23-09-001-0025-001    1B5 941000 25000 916000 RES 
S 50-43-44-26-05-001-1050-001    105N 916000 0 916000 RES 
S 50-43-44-26-05-002-1030-001    103S 916000 0 916000 RES 
N 50-43-43-10-04-000-0990-001     941008 25000 916008 RES 
C 50-43-43-27-67-000-4050-001    4E 917000 0 917000 RES 
S 50-43-44-26-07-001-3030-001    303-1 917000 0 917000 RES 
M 50-43-43-14-21-000-3110-001    R-311 942427 25000 917427 RES 
N 50-43-43-14-02-000-0070-001     942571 25000 917571 RES 
S 50-43-44-26-04-002-5030-001    S-503 918000 0 918000 RES 
M 50-43-43-23-07-000-0240-001    5-E 919000 0 919000 RES 
S 50-43-44-35-02-000-8050-001    P-5 919000 0 919000 RES 
N 50-43-43-03-20-000-0570-001     944037 25000 919037 RES 
M 50-43-43-23-10-000-0021-001    2D 945000 25000 920000 RES 
M 50-43-43-23-14-000-2050-001    205 920201 0 920201 RES 
M 50-43-43-15-34-000-2020-001    202 945668 25000 920668 RES 
M 50-43-43-23-12-000-0026-001    F-2 945952 25000 920952 RES 
M 50-43-43-23-05-007-0060-001     947084 25500 921584 RES 
M 50-43-43-22-18-000-3170-001    317A 922380 0 922380 RES 
M 50-43-43-14-21-000-6170-001    617R 923000 0 923000 RES 
S 50-43-44-23-09-001-0036-001    1C6 923000 0 923000 RES 
