doc_id,volume,image_path,flag
DOJ-OGR-00000056,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000056.tif,
DOJ-OGR-00000057,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000057.tif,
DOJ-OGR-00000058,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000058.tif,
DOJ-OGR-00000059,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000059.tif,
DOJ-OGR-00000060,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000060.tif,
DOJ-OGR-00000061,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000061.tif,
DOJ-OGR-00000062,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000062.tif,
DOJ-OGR-00000063,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000063.tif,
DOJ-OGR-00000064,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000064.tif,
DOJ-OGR-00000065,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000065.tif,
DOJ-OGR-00000066,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000066.tif,
DOJ-OGR-00000067,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000067.tif,
DOJ-OGR-00000068,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000068.tif,
DOJ-OGR-00000069,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000069.tif,
DOJ-OGR-00000070,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000070.tif,
DOJ-OGR-00000071,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000071.tif,
DOJ-OGR-00000072,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000072.tif,
DOJ-OGR-00000073,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000073.tif,
DOJ-OGR-00000074,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000074.tif,
DOJ-OGR-00000075,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000075.tif,
DOJ-OGR-00000076,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000076.tif,
DOJ-OGR-00000077,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000077.tif,
DOJ-OGR-00000078,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000078.tif,
DOJ-OGR-00000079,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000079.tif,
DOJ-OGR-00000080,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000080.tif,
DOJ-OGR-00000081,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000081.tif,
DOJ-OGR-00000082,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000082.tif,
DOJ-OGR-00000083,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000083.tif,
DOJ-OGR-00000084,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000084.tif,
DOJ-OGR-00000085,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000085.tif,
DOJ-OGR-00000086,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000086.tif,
DOJ-OGR-00000087,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000087.tif,
DOJ-OGR-00000088,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000088.tif,
DOJ-OGR-00000089,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000089.tif,
DOJ-OGR-00000090,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000090.tif,
DOJ-OGR-00000091,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000091.tif,
DOJ-OGR-00000092,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000092.tif,
DOJ-OGR-00000093,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000093.tif,
DOJ-OGR-00000094,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000094.tif,
DOJ-OGR-00000095,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000095.tif,
DOJ-OGR-00000096,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000096.tif,
DOJ-OGR-00000097,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000097.tif,
DOJ-OGR-00000098,VOL00001,.\VOL00001\IMAGES\IMAGES001\DOJ-OGR-00000098.tif,
